timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
1322, 0.76, -2.03, 8.82, 0.07, 0.04, 0.09
1422, 0.09, -6.13, 13.10, 0.07, 0.02, 0.02
1522, 0.37, 0.92, 11.84, 0.04, -0.00, 0.16
1622, 0.94, 1.18, 12.74, 0.09, -0.05, 0.08
1722, -2.57, -1.22, 11.05, 0.04, -0.05, 0.03
1822, 1.17, -0.29, 11.37, -0.03, 0.07, 0.06
1922, 5.05, 23.78, 26.31, -0.36, 0.30, 0.07
2022, -0.27, -4.18, 7.21, 2.37, -0.12, 0.18
2122, 0.29, 2.62, 13.00, -0.04, -0.02, 0.15
2222, -1.18, -3.69, 19.75, -0.87, -0.41, 0.34
2322, 0.67, 1.56, 13.18, 0.02, 0.18, 0.08
2422, -1.86, -0.71, 10.39, 0.13, 0.02, 0.10
2522, -0.81, 0.97, 10.41, 0.14, -0.00, 0.10
2622, 0.29, -1.82, 13.02, 0.07, 0.14, 0.09
2722, 1.07, 0.14, 11.03, 0.21, -0.07, 0.10
2822, -1.18, 3.52, 12.54, -0.27, -0.06, 0.05
