timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
581, -0.29, -1.67, 13.37, -0.08, -0.16, 0.08
681, -0.75, -2.40, 11.43, -0.41, -0.03, 0.06
781, -1.19, 0.02, 12.06, -0.04, 0.06, 0.01
881, 1.28, -0.64, 11.46, 0.04, 0.01, 0.03
981, 2.67, -0.64, 11.90, 0.14, -0.08, 0.09
1081, 1.88, 0.05, 12.70, 0.04, 0.02, 0.02
1181, 3.26, 0.91, 12.36, 0.29, -0.18, -0.02
1281, 1.05, -0.74, 4.05, -0.34, 0.09, 0.12
1381, -0.23, 5.12, 11.08, -0.46, 0.14, 0.44
1481, 3.39, -1.94, 4.17, -0.11, 0.13, 0.29
1581, 2.63, 0.85, 12.68, -0.13, -0.05, 0.15
1834, 0.68, 4.29, 12.24, 0.05, -0.03, 0.05
