timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
378, 0.57, -0.35, 11.83, -0.00, 0.09, 0.03
478, 0.25, -1.10, 11.30, -0.02, 0.12, 0.06
578, -1.49, -0.85, 11.48, -0.12, -0.07, 0.08
678, -2.29, 1.86, 13.23, -0.10, 0.09, 0.02
778, -2.06, -2.03, 10.92, -0.30, -0.11, 0.05
878, 4.09, -0.27, 10.48, 0.24, 0.16, 0.03
978, -0.09, -2.16, 9.56, -0.11, -0.22, 0.01
1078, -4.36, 3.58, 13.10, -0.07, 0.02, 0.06
1178, -0.18, 0.73, 12.10, 0.16, 0.08, 0.03
1278, 1.64, -7.83, 5.95, -1.44, 0.07, -0.10
1378, -1.10, -3.12, 9.33, -0.06, -0.16, 0.01
1478, -2.15, -4.92, 10.00, 1.24, 0.08, 0.11
1578, 2.04, 1.58, 10.44, 0.19, 0.20, 0.10
1678, -0.81, 2.05, 6.16, 0.94, -0.01, 0.06
1778, -3.85, 2.31, 14.18, 0.07, 0.00, 0.01
1878, 3.11, 1.27, 7.10, -1.58, 0.11, -0.02
1978, 1.33, 2.97, 12.25, -0.30, -0.02, 0.06
